,word,output0,output1,output2,output3,output0_label,output1_label,output2_label,output3_label
0,@geryon,0.0,0.0,0.03,0.0,0,0,1,0
1,aand,0.0,0.0,0.0,0.01,0,0,0,1
2,aaron,0.0,0.0,0.0,0.03,0,0,0,2
3,abalone,0.0,0.03,0.0,0.0,0,1,0,0
4,abandon,0.19,0.26,0.28,0.07,16,10,11,5
5,abandoned,0.19,0.26,0.28,0.07,16,10,11,5
6,abandoning,0.19,0.26,0.28,0.07,16,10,11,5
7,abandonment,0.19,0.26,0.28,0.07,16,10,11,5
8,abandons,0.19,0.26,0.28,0.07,16,10,11,5
9,abashed,0.0,0.03,0.0,0.0,0,1,0,0
10,abbaabba,0.0,0.0,0.0,0.01,0,0,0,1
11,abbey,0.0,0.0,0.0,0.03,0,0,0,2
12,abbeys,0.0,0.0,0.0,0.03,0,0,0,2
13,abbot,0.01,0.0,0.0,0.01,1,0,0,1
14,abbots,0.01,0.0,0.0,0.01,1,0,0,1
15,abbreviated,0.0,0.0,0.0,0.03,0,0,0,2
16,abbreviation,0.0,0.0,0.0,0.03,0,0,0,2
17,abc,0.01,0.0,0.0,0.0,1,0,0,0
18,abdomen,0.0,0.05,0.0,0.0,0,2,0,0
19,abducted,0.0,0.03,0.0,0.0,0,1,0,0
20,abecedarian,0.04,0.0,0.0,0.0,3,0,0,0
21,abecedarium,0.06,0.0,0.0,0.0,5,0,0,0
22,abeyance,0.0,0.0,0.0,0.01,0,0,0,1
23,abhorrent,0.0,0.03,0.0,0.0,0,1,0,0
24,abide,0.05,0.0,0.03,0.01,4,0,1,1
25,abiding,0.05,0.0,0.03,0.01,4,0,1,1
26,abilities,0.25,0.18,0.36,0.25,21,7,14,17
27,ability,0.25,0.18,0.36,0.25,21,7,14,17
28,abiogenesis,0.01,0.0,0.0,0.0,1,0,0,0
29,abject,0.0,0.03,0.0,0.0,0,1,0,0
30,able,0.13,0.16,0.36,0.13,11,6,14,9
31,ably,0.01,0.0,0.0,0.0,1,0,0,0
32,abnormal,0.01,0.05,0.0,0.0,1,2,0,0
33,abnormality,0.01,0.05,0.0,0.0,1,2,0,0
34,aboard,0.05,0.03,0.0,0.0,4,1,0,0
35,aboli,0.0,0.0,0.0,0.01,0,0,0,1
36,abolishes,0.01,0.0,0.0,0.0,1,0,0,0
37,abotona,0.0,0.0,0.0,0.01,0,0,0,1
38,abound,0.05,0.0,0.03,0.0,4,0,1,0
39,abounds,0.05,0.0,0.03,0.0,4,0,1,0
40,aboutie,0.0,0.03,0.0,0.0,0,1,0,0
41,aboutsomething,0.0,0.0,0.03,0.0,0,0,1,0
42,aboveand,0.01,0.0,0.0,0.0,1,0,0,0
43,aboveground,0.02,0.0,0.0,0.0,2,0,0,0
44,abovehere,0.01,0.0,0.0,0.0,1,0,0,0
45,abovequoted,0.01,0.0,0.0,0.0,1,0,0,0
46,abracadabra,0.01,0.03,0.0,0.0,1,1,0,0
47,abraham,0.0,0.03,0.0,0.0,0,1,0,0
48,abramovi?,0.0,0.0,0.03,0.0,0,0,1,0
49,abramowitz,0.02,0.05,0.0,0.0,2,2,0,0
50,abramowitzs,0.02,0.05,0.0,0.0,2,2,0,0
51,abrams,0.0,0.03,0.0,0.0,0,1,0,0
52,abrasive,0.0,0.0,0.0,0.03,0,0,0,2
53,abridged,0.01,0.0,0.0,0.0,1,0,0,0
54,abroad,0.01,0.03,0.0,0.01,1,1,0,1
55,abrupt,0.02,0.0,0.05,0.01,2,0,2,1
56,abruptly,0.02,0.0,0.05,0.01,2,0,2,1
57,absence,0.13,0.21,0.23,0.07,11,8,9,5
58,absenceabstinence,0.01,0.0,0.0,0.0,1,0,0,0
59,absencenot,0.0,0.03,0.0,0.0,0,1,0,0
60,absences,0.13,0.21,0.23,0.07,11,8,9,5
61,absencesit,0.0,0.03,0.0,0.0,0,1,0,0
62,absent,0.02,0.08,0.08,0.01,2,3,3,1
63,absolute,0.08,0.03,0.13,0.09,7,1,5,6
64,absolutely,0.08,0.03,0.13,0.09,7,1,5,6
65,absolved,0.01,0.0,0.0,0.01,1,0,0,1
66,absolves,0.01,0.0,0.0,0.01,1,0,0,1
67,absorbed,0.0,0.0,0.05,0.01,0,0,2,1
68,absorbing,0.0,0.0,0.05,0.01,0,0,2,1
69,absorbs,0.0,0.0,0.05,0.01,0,0,2,1
70,absorption,0.0,0.0,0.0,0.01,0,0,0,1
71,abstinence,0.01,0.0,0.0,0.0,1,0,0,0
72,abstract,0.18,0.11,0.21,0.2,15,4,8,14
73,abstraction,0.18,0.11,0.21,0.2,15,4,8,14
74,abstractions,0.18,0.11,0.21,0.2,15,4,8,14
75,abstractly,0.18,0.11,0.21,0.2,15,4,8,14
76,abstracts,0.18,0.11,0.21,0.2,15,4,8,14
77,absurd,0.08,0.0,0.05,0.17,7,0,2,12
78,absurdist,0.0,0.0,0.03,0.0,0,0,1,0
79,absurdities,0.08,0.0,0.05,0.17,7,0,2,12
80,absurdity,0.08,0.0,0.05,0.17,7,0,2,12
81,absurdwhich,0.0,0.0,0.03,0.0,0,0,1,0
82,abu,0.0,0.0,0.0,0.01,0,0,0,1
83,abundance,0.06,0.0,0.03,0.04,5,0,1,3
84,abundant,0.06,0.0,0.03,0.04,5,0,1,3
85,abundantly,0.06,0.0,0.03,0.04,5,0,1,3
86,abuse,0.06,0.03,0.03,0.12,5,1,1,8
87,abused,0.06,0.03,0.03,0.12,5,1,1,8
88,abuses,0.06,0.03,0.03,0.12,5,1,1,8
89,abusive,0.06,0.03,0.03,0.12,5,1,1,8
90,abyss,0.02,0.03,0.05,0.07,2,1,2,5
91,abysses,0.02,0.03,0.05,0.07,2,1,2,5
92,abysshinged,0.02,0.0,0.0,0.0,2,0,0,0
93,academe,0.01,0.03,0.08,0.14,1,1,3,10
94,academia,0.0,0.03,0.0,0.0,0,1,0,0
95,academic,0.01,0.03,0.08,0.14,1,1,3,10
96,academics,0.01,0.03,0.08,0.14,1,1,3,10
97,academy,0.04,0.05,0.08,0.01,3,2,3,1
98,accede,0.0,0.0,0.0,0.01,0,0,0,1
99,accelerating,0.01,0.0,0.0,0.0,1,0,0,0
100,accent,0.0,0.05,0.03,0.01,0,2,1,1
101,accents,0.0,0.05,0.03,0.01,0,2,1,1
102,accentual,0.05,0.0,0.0,0.04,4,0,0,3
103,accentualsyllabics,0.0,0.0,0.0,0.01,0,0,0,1
104,accentuate,0.05,0.0,0.0,0.04,4,0,0,3
105,accentuated,0.05,0.0,0.0,0.04,4,0,0,3
106,accentuates,0.05,0.0,0.0,0.04,4,0,0,3
107,accept,0.19,0.11,0.31,0.19,16,4,12,13
108,acceptable,0.19,0.11,0.31,0.19,16,4,12,13
109,acceptance,0.19,0.11,0.31,0.19,16,4,12,13
110,accepted,0.19,0.11,0.31,0.19,16,4,12,13
111,accepting,0.19,0.11,0.31,0.19,16,4,12,13
112,acceptingor,0.01,0.0,0.0,0.0,1,0,0,0
113,accepts,0.19,0.11,0.31,0.19,16,4,12,13
114,access,0.09,0.0,0.13,0.13,8,0,5,9
115,accessibility,0.09,0.0,0.13,0.13,8,0,5,9
116,accessible,0.09,0.0,0.13,0.13,8,0,5,9
117,accessorized,0.0,0.03,0.0,0.0,0,1,0,0
118,accessory,0.0,0.0,0.03,0.01,0,0,1,1
119,accident,0.04,0.0,0.08,0.04,3,0,3,3
120,accidental,0.04,0.0,0.0,0.01,3,0,0,1
121,accidentally,0.04,0.0,0.0,0.01,3,0,0,1
122,accidentand,0.0,0.0,0.03,0.0,0,0,1,0
123,accidents,0.04,0.0,0.08,0.04,3,0,3,3
124,acclaim,0.0,0.03,0.0,0.01,0,1,0,1
125,acclaimed,0.0,0.03,0.0,0.01,0,1,0,1
126,accolades,0.02,0.0,0.0,0.03,2,0,0,2
127,accommodate,0.04,0.0,0.03,0.03,3,0,1,2
128,accommodation,0.04,0.0,0.03,0.03,3,0,1,2
129,accompanied,0.08,0.08,0.05,0.09,7,3,2,6
130,accompanies,0.08,0.08,0.05,0.09,7,3,2,6
131,accompaniment,0.08,0.08,0.05,0.09,7,3,2,6
132,accompany,0.08,0.08,0.05,0.09,7,3,2,6
133,accompanying,0.08,0.08,0.05,0.09,7,3,2,6
134,accomplices,0.0,0.0,0.0,0.01,0,0,0,1
135,accomplis,0.0,0.03,0.0,0.0,0,1,0,0
136,accomplish,0.07,0.11,0.1,0.13,6,4,4,9
137,accomplishdeath,0.0,0.0,0.03,0.0,0,0,1,0
138,accomplished,0.07,0.11,0.1,0.13,6,4,4,9
139,accomplishes,0.07,0.11,0.1,0.13,6,4,4,9
140,accomplishment,0.07,0.11,0.1,0.13,6,4,4,9
141,accomplishments,0.07,0.11,0.1,0.13,6,4,4,9
142,accomplishmentthey,0.0,0.0,0.0,0.01,0,0,0,1
143,accord,0.09,0.03,0.05,0.1,8,1,2,7
144,according,0.09,0.03,0.05,0.1,8,1,2,7
145,accordingly,0.09,0.03,0.05,0.1,8,1,2,7
146,accordion,0.01,0.0,0.03,0.01,1,0,1,1
147,account,0.11,0.11,0.05,0.12,9,4,2,8
148,accountability,0.11,0.11,0.05,0.12,9,4,2,8
149,accountant,0.11,0.11,0.05,0.12,9,4,2,8
150,accounting,0.11,0.11,0.05,0.12,9,4,2,8
151,accounts,0.11,0.11,0.05,0.12,9,4,2,8
152,accouterment,0.01,0.0,0.0,0.0,1,0,0,0
153,accreted,0.0,0.0,0.0,0.04,0,0,0,3
154,accretion,0.0,0.0,0.0,0.04,0,0,0,3
155,accretions,0.0,0.0,0.0,0.04,0,0,0,3
156,accrue,0.0,0.0,0.05,0.01,0,0,2,1
157,accruing,0.0,0.0,0.05,0.01,0,0,2,1
158,accumulate,0.04,0.03,0.08,0.09,3,1,3,6
159,accumulated,0.04,0.03,0.08,0.09,3,1,3,6
160,accumulates,0.04,0.03,0.08,0.09,3,1,3,6
161,accumulating,0.04,0.03,0.08,0.09,3,1,3,6
162,accumulation,0.04,0.03,0.08,0.09,3,1,3,6
163,accuracy,0.04,0.0,0.05,0.0,3,0,2,0
164,accurate,0.08,0.03,0.08,0.01,7,1,3,1
165,accurately,0.08,0.03,0.08,0.01,7,1,3,1
166,accusation,0.0,0.05,0.05,0.0,0,2,2,0
167,accusations,0.0,0.05,0.05,0.0,0,2,2,0
168,accusatory,0.01,0.0,0.0,0.0,1,0,0,0
169,accustomed,0.0,0.03,0.03,0.0,0,1,1,0
170,acerbic,0.0,0.0,0.03,0.0,0,0,1,0
171,ache,0.08,0.03,0.05,0.03,7,1,2,2
172,aches,0.08,0.03,0.05,0.03,7,1,2,2
173,achieve,0.05,0.05,0.33,0.1,4,2,13,7
174,achieved,0.05,0.05,0.33,0.1,4,2,13,7
175,achievement,0.05,0.05,0.33,0.1,4,2,13,7
176,achievements,0.05,0.05,0.33,0.1,4,2,13,7
177,achieves,0.05,0.05,0.33,0.1,4,2,13,7
178,achieving,0.05,0.05,0.33,0.1,4,2,13,7
179,achilles,0.0,0.0,0.13,0.0,0,0,5,0
180,aching,0.08,0.03,0.05,0.03,7,1,2,2
181,achromatic,0.0,0.0,0.03,0.0,0,0,1,0
182,acid,0.01,0.0,0.03,0.0,1,0,1,0
183,acknowledge,0.15,0.24,0.15,0.32,13,9,6,22
184,acknowledged,0.15,0.24,0.15,0.32,13,9,6,22
185,acknowledgement,0.15,0.24,0.15,0.32,13,9,6,22
186,acknowledgements,0.15,0.24,0.15,0.32,13,9,6,22
187,acknowledges,0.15,0.24,0.15,0.32,13,9,6,22
188,acknowledging,0.15,0.24,0.15,0.32,13,9,6,22
189,acknowledgment,0.15,0.24,0.15,0.32,13,9,6,22
190,acknowledgments,0.15,0.24,0.15,0.32,13,9,6,22
191,acme,0.0,0.0,0.0,0.01,0,0,0,1
192,acorn,0.01,0.0,0.0,0.0,1,0,0,0
193,acquaintance,0.02,0.0,0.0,0.01,2,0,0,1
194,acquainted,0.02,0.0,0.0,0.01,2,0,0,1
195,acquiescing,0.01,0.0,0.0,0.0,1,0,0,0
196,acquire,0.01,0.05,0.03,0.01,1,2,1,1
197,acquired,0.01,0.05,0.03,0.01,1,2,1,1
198,acre,0.02,0.05,0.05,0.0,2,2,2,0
199,acres,0.02,0.05,0.05,0.0,2,2,2,0
200,acribilla,0.0,0.0,0.0,0.01,0,0,0,1
201,acrobatic,0.0,0.03,0.03,0.07,0,1,1,5
202,acrobatics,0.0,0.03,0.03,0.07,0,1,1,5
203,acrobats,0.0,0.03,0.03,0.07,0,1,1,5
204,acropolis,0.01,0.0,0.0,0.0,1,0,0,0
205,across,0.26,0.42,0.18,0.42,22,16,7,29
206,acrostic,0.0,0.03,0.0,0.0,0,1,0,0
207,acrylic,0.01,0.0,0.0,0.0,1,0,0,0
208,act,0.33,0.24,0.67,0.42,28,9,26,29
209,acted,0.33,0.24,0.67,0.42,28,9,26,29
210,acting,0.33,0.24,0.67,0.42,28,9,26,29
211,action,0.14,0.08,0.36,0.14,12,3,14,10
212,actions,0.14,0.08,0.36,0.14,12,3,14,10
213,activate,0.09,0.42,0.15,0.17,8,16,6,12
214,activates,0.09,0.42,0.15,0.17,8,16,6,12
215,activation,0.09,0.42,0.15,0.17,8,16,6,12
216,active,0.09,0.42,0.15,0.17,8,16,6,12
217,actively,0.09,0.42,0.15,0.17,8,16,6,12
218,activism,0.09,0.42,0.15,0.17,8,16,6,12
219,activist,0.02,0.0,0.0,0.04,2,0,0,3
220,activities,0.09,0.42,0.15,0.17,8,16,6,12
221,activity,0.09,0.42,0.15,0.17,8,16,6,12
222,actor,0.01,0.05,0.03,0.03,1,2,1,2
223,actors,0.01,0.05,0.03,0.03,1,2,1,2
224,actress,0.0,0.0,0.03,0.0,0,0,1,0
225,acts,0.33,0.24,0.67,0.42,28,9,26,29
226,actual,0.24,0.26,0.33,0.2,20,10,13,14
227,actuality,0.24,0.26,0.33,0.2,20,10,13,14
228,actualizes,0.24,0.26,0.33,0.2,20,10,13,14
229,actually,0.24,0.26,0.33,0.2,20,10,13,14
230,actuated,0.0,0.0,0.0,0.01,0,0,0,1
231,acuitya,0.0,0.03,0.0,0.0,0,1,0,0
232,acumen,0.01,0.0,0.05,0.0,1,0,2,0
233,acute,0.05,0.05,0.05,0.06,4,2,2,4
234,acutely,0.05,0.05,0.05,0.06,4,2,2,4
235,ad,0.07,0.08,0.18,0.1,6,3,7,7
236,adam,0.06,0.13,0.05,0.1,5,5,2,7
237,adams,0.06,0.13,0.05,0.1,5,5,2,7
238,adanna,0.01,0.0,0.0,0.0,1,0,0,0
239,adapt,0.08,0.03,0.0,0.0,7,1,0,0
240,adaptation,0.08,0.03,0.0,0.0,7,1,0,0
241,adapted,0.08,0.03,0.0,0.0,7,1,0,0
242,adapting,0.08,0.03,0.0,0.0,7,1,0,0
243,adapts,0.08,0.03,0.0,0.0,7,1,0,0
244,add,0.16,0.11,0.1,0.13,14,4,4,9
245,added,0.07,0.08,0.18,0.1,6,3,7,7
246,addict,0.0,0.03,0.03,0.09,0,1,1,6
247,addicted,0.0,0.03,0.03,0.09,0,1,1,6
248,addiction,0.0,0.03,0.03,0.09,0,1,1,6
249,addictive,0.0,0.03,0.03,0.09,0,1,1,6
250,adding,0.07,0.08,0.18,0.1,6,3,7,7
251,addition,0.11,0.16,0.23,0.17,9,6,9,12
252,additional,0.11,0.16,0.23,0.17,9,6,9,12
253,additionally,0.11,0.16,0.23,0.17,9,6,9,12
254,addonizios,0.01,0.0,0.0,0.0,1,0,0,0
255,address,0.22,0.5,0.36,0.14,19,19,14,10
256,addressed,0.22,0.5,0.36,0.14,19,19,14,10
257,addresses,0.22,0.5,0.36,0.14,19,19,14,10
258,addresseswhy,0.01,0.0,0.0,0.0,1,0,0,0
259,addressing,0.22,0.5,0.36,0.14,19,19,14,10
260,adds,0.16,0.11,0.1,0.13,14,4,4,9
261,adept,0.06,0.03,0.0,0.03,5,1,0,2
262,adeptly,0.06,0.03,0.0,0.03,5,1,0,2
263,adequate,0.04,0.0,0.0,0.0,3,0,0,0
264,adequately,0.04,0.0,0.0,0.0,3,0,0,0
265,adhere,0.01,0.08,0.03,0.03,1,3,1,2
266,adhered,0.01,0.08,0.03,0.03,1,3,1,2
267,adherence,0.01,0.08,0.03,0.03,1,3,1,2
268,adheres,0.01,0.08,0.03,0.03,1,3,1,2
269,adhering,0.01,0.08,0.03,0.03,1,3,1,2
270,adhesion,0.01,0.0,0.0,0.0,1,0,0,0
271,adjacent,0.0,0.0,0.03,0.0,0,0,1,0
272,adjective,0.04,0.03,0.0,0.0,3,1,0,0
273,adjectives,0.04,0.03,0.0,0.0,3,1,0,0
274,adjoining,0.01,0.0,0.0,0.0,1,0,0,0
275,adjunct,0.01,0.03,0.0,0.0,1,1,0,0
276,adjustment,0.0,0.0,0.0,0.01,0,0,0,1
277,adkins,0.0,0.0,0.15,0.0,0,0,6,0
278,admirable,0.15,0.05,0.08,0.17,13,2,3,12
279,admirably,0.15,0.05,0.08,0.17,13,2,3,12
280,admiration,0.15,0.05,0.08,0.17,13,2,3,12
281,admire,0.15,0.05,0.08,0.17,13,2,3,12
282,admired,0.15,0.05,0.08,0.17,13,2,3,12
283,admirer,0.15,0.05,0.08,0.17,13,2,3,12
284,admirerdecrier,0.0,0.0,0.0,0.01,0,0,0,1
285,admires,0.15,0.05,0.08,0.17,13,2,3,12
286,admiring,0.15,0.05,0.08,0.17,13,2,3,12
287,admission,0.01,0.0,0.08,0.0,1,0,3,0
288,admissions,0.01,0.0,0.08,0.0,1,0,3,0
289,admit,0.16,0.18,0.13,0.22,14,7,5,15
290,admits,0.16,0.18,0.13,0.22,14,7,5,15
291,admittedly,0.16,0.18,0.13,0.22,14,7,5,15
292,admitting,0.16,0.18,0.13,0.22,14,7,5,15
293,admixture,0.01,0.0,0.03,0.0,1,0,1,0
294,admonishes,0.02,0.0,0.0,0.0,2,0,0,0
295,admonishment,0.02,0.0,0.0,0.0,2,0,0,0
296,admonition,0.01,0.0,0.0,0.0,1,0,0,0
297,adobe,0.0,0.0,0.03,0.0,0,0,1,0
298,adolescence,0.14,0.03,0.03,0.04,12,1,1,3
299,adolescences,0.14,0.03,0.03,0.04,12,1,1,3
300,adolescent,0.14,0.03,0.03,0.04,12,1,1,3
301,adolescents,0.14,0.03,0.03,0.04,12,1,1,3
302,adopt,0.04,0.03,0.03,0.01,3,1,1,1
303,adoptive,0.04,0.03,0.03,0.01,3,1,1,1
304,adopts,0.04,0.03,0.03,0.01,3,1,1,1
305,adorata,0.0,0.03,0.0,0.0,0,1,0,0
306,adoration,0.01,0.03,0.08,0.03,1,1,3,2
307,adored,0.01,0.03,0.08,0.03,1,1,3,2
308,adores,0.01,0.03,0.08,0.03,1,1,3,2
309,adoringly,0.01,0.03,0.08,0.03,1,1,3,2
310,adorned,0.0,0.0,0.03,0.0,0,0,1,0
311,adorno,0.01,0.0,0.0,0.0,1,0,0,0
312,adrienne,0.0,0.0,0.03,0.0,0,0,1,0
313,adrift,0.04,0.03,0.05,0.01,3,1,2,1
314,adroit,0.01,0.0,0.0,0.04,1,0,0,3
315,adroitly,0.01,0.0,0.0,0.04,1,0,0,3
316,ads,0.07,0.08,0.18,0.1,6,3,7,7
317,adulation,0.0,0.0,0.0,0.01,0,0,0,1
318,adult,0.12,0.0,0.18,0.09,10,0,7,6
319,adultery,0.0,0.0,0.0,0.03,0,0,0,2
320,adulthood,0.05,0.03,0.08,0.03,4,1,3,2
321,adults,0.12,0.0,0.18,0.09,10,0,7,6
322,adumbrate,0.0,0.0,0.0,0.01,0,0,0,1
323,advance,0.01,0.0,0.05,0.07,1,0,2,5
324,advanced,0.01,0.0,0.05,0.07,1,0,2,5
325,advancing,0.01,0.0,0.05,0.07,1,0,2,5
326,advantage,0.0,0.03,0.0,0.07,0,1,0,5
327,adventure,0.08,0.08,0.1,0.01,7,3,4,1
328,adventurers,0.08,0.08,0.1,0.01,7,3,4,1
329,adventures,0.08,0.08,0.1,0.01,7,3,4,1
330,adverbs,0.0,0.0,0.0,0.01,0,0,0,1
331,adversity,0.0,0.03,0.0,0.0,0,1,0,0
332,advert,0.0,0.0,0.03,0.0,0,0,1,0
333,advertised,0.02,0.0,0.0,0.01,2,0,0,1
334,advertisement,0.02,0.0,0.0,0.01,2,0,0,1
335,advertisements,0.02,0.0,0.0,0.01,2,0,0,1
336,advice,0.06,0.11,0.03,0.01,5,4,1,1
337,advising,0.0,0.0,0.0,0.01,0,0,0,1
338,advisories,0.01,0.0,0.0,0.0,1,0,0,0
339,advocate,0.0,0.0,0.0,0.01,0,0,0,1
340,ae,0.0,0.0,0.13,0.0,0,0,5,0
341,aelred,0.01,0.0,0.0,0.0,1,0,0,0
342,aeneas,0.04,0.0,0.0,0.0,3,0,0,0
343,aeneid,0.02,0.0,0.0,0.0,2,0,0,0
344,aerated,0.01,0.0,0.03,0.0,1,0,1,0
345,aerating,0.01,0.0,0.03,0.0,1,0,1,0
346,aerial,0.01,0.0,0.03,0.0,1,0,1,0
347,aesop,0.0,0.0,0.0,0.01,0,0,0,1
348,aesthetic,0.06,0.13,0.08,0.17,5,5,3,12
349,aesthetically,0.06,0.13,0.08,0.17,5,5,3,12
350,aesthetics,0.06,0.13,0.08,0.17,5,5,3,12
351,aestheticsthe,0.01,0.0,0.0,0.0,1,0,0,0
352,aeternus,0.0,0.03,0.03,0.0,0,1,1,0
353,af,0.0,0.0,0.0,0.03,0,0,0,2
354,afar,0.0,0.0,0.03,0.0,0,0,1,0
355,affable,0.0,0.03,0.0,0.0,0,1,0,0
356,affair,0.04,0.0,0.08,0.07,3,0,3,5
357,affairs,0.04,0.0,0.08,0.07,3,0,3,5
358,affect,0.08,0.03,0.1,0.13,7,1,4,9
359,affectation,0.08,0.03,0.1,0.13,7,1,4,9
360,affected,0.08,0.03,0.1,0.13,7,1,4,9
361,affecting,0.08,0.03,0.1,0.13,7,1,4,9
362,affectingly,0.08,0.03,0.1,0.13,7,1,4,9
363,affection,0.08,0.03,0.1,0.13,7,1,4,9
364,affections,0.08,0.03,0.1,0.13,7,1,4,9
365,affective,0.08,0.03,0.1,0.13,7,1,4,9
366,affects,0.08,0.03,0.1,0.13,7,1,4,9
367,affilia,0.01,0.03,0.0,0.0,1,1,0,0
368,affiliation,0.01,0.0,0.0,0.0,1,0,0,0
369,affinity,0.02,0.0,0.0,0.03,2,0,0,2
370,affirm,0.04,0.08,0.03,0.09,3,3,1,6
371,affirmation,0.04,0.08,0.03,0.09,3,3,1,6
372,affirmative,0.04,0.08,0.03,0.09,3,3,1,6
373,affirmed,0.04,0.08,0.03,0.09,3,3,1,6
374,affirming,0.04,0.08,0.03,0.09,3,3,1,6
375,affirms,0.04,0.08,0.03,0.09,3,3,1,6
376,affixing,0.0,0.0,0.0,0.01,0,0,0,1
377,afflicted,0.01,0.0,0.03,0.0,1,0,1,0
378,affliction,0.01,0.0,0.03,0.0,1,0,1,0
379,afford,0.01,0.05,0.03,0.01,1,2,1,1
380,affordable,0.01,0.05,0.03,0.01,1,2,1,1
381,affordfor,0.01,0.0,0.0,0.0,1,0,0,0
382,affords,0.01,0.05,0.03,0.01,1,2,1,1
383,affront,0.01,0.0,0.03,0.0,1,0,1,0
384,affronted,0.01,0.0,0.03,0.0,1,0,1,0
385,afghan,0.0,0.03,0.0,0.0,0,1,0,0
386,afghanistan,0.0,0.0,0.03,0.01,0,0,1,1
387,aficionado,0.01,0.0,0.0,0.0,1,0,0,0
388,afield,0.01,0.0,0.0,0.0,1,0,0,0
389,aflame,0.01,0.03,0.0,0.0,1,1,0,0
390,afloat,0.0,0.03,0.0,0.0,0,1,0,0
391,afoot,0.0,0.0,0.0,0.01,0,0,0,1
392,aforementioned,0.0,0.0,0.05,0.03,0,0,2,2
393,afraid,0.06,0.05,0.08,0.07,5,2,3,5
394,africa,0.01,0.0,0.03,0.04,1,0,1,3
395,african,0.06,0.03,0.05,0.03,5,1,2,2
396,africanamerican,0.0,0.0,0.15,0.0,0,0,6,0
397,africanamericans,0.0,0.0,0.15,0.0,0,0,6,0
398,africas,0.01,0.0,0.03,0.04,1,0,1,3
399,afrocaribbean,0.0,0.0,0.0,0.01,0,0,0,1
400,afros,0.0,0.03,0.0,0.0,0,1,0,0
401,afterand,0.01,0.0,0.0,0.0,1,0,0,0
402,aftereffects,0.0,0.0,0.0,0.01,0,0,0,1
403,afterimage,0.04,0.0,0.0,0.01,3,0,0,1
404,afterimages,0.04,0.0,0.0,0.01,3,0,0,1
405,afterlife,0.02,0.0,0.0,0.0,2,0,0,0
406,afterlifethe,0.0,0.0,0.0,0.01,0,0,0,1
407,aftermath,0.01,0.03,0.03,0.0,1,1,1,0
408,afternoon,0.05,0.0,0.08,0.14,4,0,3,10
409,afternooncolored,0.0,0.0,0.03,0.0,0,0,1,0
410,afternoons,0.05,0.0,0.08,0.14,4,0,3,10
411,aftershave,0.0,0.03,0.0,0.0,0,1,0,0
412,aftershocks,0.01,0.0,0.05,0.0,1,0,2,0
413,afterthought,0.01,0.0,0.03,0.0,1,0,1,0
414,afterward,0.01,0.0,0.13,0.01,1,0,5,1
415,afterwards,0.01,0.0,0.13,0.01,1,0,5,1
416,afterword,0.01,0.0,0.0,0.03,1,0,0,2
417,afterworld,0.0,0.03,0.0,0.0,0,1,0,0
418,againgo,0.01,0.0,0.0,0.0,1,0,0,0
419,againold,0.01,0.0,0.0,0.0,1,0,0,0
420,againserving,0.0,0.0,0.0,0.01,0,0,0,1
421,agamben,0.0,0.03,0.0,0.0,0,1,0,0
422,agape,0.0,0.0,0.03,0.0,0,0,1,0
423,agayne,0.0,0.0,0.0,0.03,0,0,0,2
424,age,0.32,0.42,0.46,0.35,27,16,18,24
425,ageand,0.01,0.0,0.0,0.0,1,0,0,0
426,aged,0.32,0.42,0.46,0.35,27,16,18,24
427,agency,0.02,0.08,0.08,0.04,2,3,3,3
428,agenda,0.01,0.0,0.0,0.0,1,0,0,0
429,agent,0.05,0.03,0.0,0.07,4,1,0,5
430,agents,0.05,0.03,0.0,0.07,4,1,0,5
431,ageold,0.0,0.03,0.03,0.01,0,1,1,1
432,ages,0.32,0.42,0.46,0.35,27,16,18,24
433,aggregate,0.01,0.0,0.0,0.0,1,0,0,0
434,aggression,0.0,0.03,0.0,0.01,0,1,0,1
435,aggressive,0.0,0.03,0.0,0.01,0,1,0,1
436,aggressors,0.0,0.03,0.0,0.0,0,1,0,0
437,agha,0.0,0.0,0.03,0.0,0,0,1,0
438,agile,0.01,0.0,0.03,0.01,1,0,1,1
439,agility,0.01,0.0,0.03,0.01,1,0,1,1
440,aging,0.32,0.42,0.46,0.35,27,16,18,24
441,agings,0.32,0.42,0.46,0.35,27,16,18,24
442,agitating,0.0,0.03,0.0,0.0,0,1,0,0
443,agnes,0.0,0.0,0.0,0.01,0,0,0,1
444,agni,0.0,0.0,0.03,0.01,0,0,1,1
445,agnosticism,0.0,0.03,0.0,0.0,0,1,0,0
446,ago,0.05,0.08,0.08,0.19,4,3,3,13
447,agog,0.01,0.0,0.0,0.0,1,0,0,0
448,agonies,0.0,0.11,0.05,0.04,0,4,2,3
449,agonized,0.01,0.0,0.0,0.0,1,0,0,0
450,agony,0.0,0.11,0.05,0.04,0,4,2,3
451,agoodexit,0.0,0.0,0.0,0.01,0,0,0,1
452,agora,0.01,0.0,0.0,0.0,1,0,0,0
453,agree,0.08,0.05,0.03,0.1,7,2,1,7
454,agreeable,0.01,0.0,0.0,0.0,1,0,0,0
455,agreed,0.08,0.05,0.03,0.1,7,2,1,7
456,agreeing,0.08,0.05,0.03,0.1,7,2,1,7
457,agreeis,0.0,0.0,0.0,0.01,0,0,0,1
458,agreements,0.0,0.0,0.0,0.01,0,0,0,1
459,agrees,0.08,0.05,0.03,0.1,7,2,1,7
460,agricultural,0.02,0.03,0.0,0.0,2,1,0,0
