Journal,Pub. Year,Pub. Date,Reviewer,Reviewer Gender,Book,Author,Author Gender,Press,Link
Iowa Review,13,04.02.2013,Nick Ripatrazone,Male,The Always Broken Plates of Mountains,Rose McLarney,Female,Four Way Books,http://iowareview.uiowa.edu/reviews/apr-02-2013/rose_mclarneys_the_always_broken_plates_of_mountains
Iowa Review,13,04.30.2013,Carrie Chappell,Female,The Lifting Dress,Lauren Berry,Female,Penguin Books,http://iowareview.uiowa.edu/reviews/apr-30-2013/lauren_berry_s_the_lifting_dress
Iowa Review,13,06.11.2013,Sean Patrick Hill,Male,To Anacreon in Heaven and Other Poems,Graham Foust,Male,Flood Editions,http://iowareview.uiowa.edu/reviews/jun-11-2013/graham_fousts_to_anacreon_in_heaven_and_other_poems
Iowa Review,13,08.06.2013,Kristina Marie Darling,Female,Big Bad Asterisk,Carlo Matos,Male,BlazeVOX [books],http://iowareview.uiowa.edu/reviews/aug-06-2013/carlo_matoss_big_bad_asterisk
Iowa Review,13,08.20.2013,Will Vincent,Male,The Crisis of Infinite Worlds,Dana Ward,Male,Futurepoem,http://iowareview.uiowa.edu/reviews/aug-20-2013/dana_ward_s_the_crisis_of_infinite_worlds
Iowa Review,13,09.04.2013,Carolyne Wright,Female,School of the Americas,David Rigsbee,Male,Black Lawrence Press,http://iowareview.uiowa.edu/reviews/sep-04-2013/david_rigsbees_school_of_the_americas
Iowa Review,13,10.01.2013,Maggie Millner,Female,Vulgar Remedies,Anna Journey,Female,Louisiana State University Press,http://iowareview.uiowa.edu/reviews/oct-01-2013/anna_journeys_vulgar_remedies
Iowa Review,13,10.29.2013,Chris Pusateri,Male,Bravura Cool,Jane Lewty,Female,1913 Press,http://iowareview.uiowa.edu/reviews/oct-29-2013/jane_lewty_s_bravura_cool
Kenyon Review,12,Fall 2012,Jenny Johnson,Female,Songs and Stories of the Ghouls,Alice Notley,Female,Wesleyan University Press,http://www.kenyonreview.org/kr-online-issue/2012-fall/selections/songs-and-stories-of-the-ghouls-by-alice-notley-738439/
Kenyon Review,12,Fall 2012,Lauren Goodwin Slaughter,Female,Ennui Prophet,Christopher Kennedy,Male,BOA Editions,http://www.kenyonreview.org/kr-online-issue/2012-fall/selections/ennui-prophet-by-christopher-kennedy-738439/
Kenyon Review,12,Fall 2012,Andrew McFadyen-Ketchum,Male,Manoleria,Daniel Khalastchi,Male,Tupelo Press,http://www.kenyonreview.org/kr-online-issue/2012-fall/selections/manoleria-by-daniel-khalastchi-738439/
Kenyon Review,12,Fall 2012,Rachel Richardson,Female,Raptus,Joanna Klink,Female,Penguin Books,http://www.kenyonreview.org/kr-online-issue/2012-fall/selections/raptus-by-joanna-klink-738439/
Kenyon Review,12,Spring 2012,Daniel Poppick,Male,Becoming Weather,Chris Martin,Male,Coffee House Press,http://www.kenyonreview.org/kr-online-issue/spring-2012-2/selections/becoming-weather-by-chris-martin-738439/
Kenyon Review,12,Spring 2012,Kascha Semanovitch,Female,Vanishing-Line,Jeffrey Yang,Male,Graywolf Press,http://www.kenyonreview.org/kr-online-issue/spring-2012-2/selections/semonovitch_yang/
Kenyon Review,12,Spring 2012,Eric Weinstein,Male,California,Jennifer Denrow,Female,Four Way Books,http://www.kenyonreview.org/kr-online-issue/spring-2012-2/selections/california-state-of-mind/
Kenyon Review,12,Spring 2012,Hilary Plum,Female,Selected Poems,Mary Ruefle (edit.),Female,Wave Books,http://www.kenyonreview.org/kr-online-issue/spring-2012-2/selections/selected-poems-by-mary-ruefle-738439/
Kenyon Review,12,Spring 2012,Andy Frazee,Male,The Selected Poems of Ted Berrigan,Ted Berrigan (edit.),Male,University of California Press,http://www.kenyonreview.org/kr-online-issue/spring-2012-2/selections/selected-poems-of-ted-berrigan-edited-by-alice-notley-anselm-berrigan-and-edmund-berrigan-738439/
Kenyon Review,12,Summer 2012,Erika Jo Brown,Female,I Am Not A Pioneer,Adam Fell,Male,H_NGM_N Books,http://www.kenyonreview.org/kr-online-issue/2012-summer/selections/i-am-not-pioneer-by-adam-fell-738439/
Kenyon Review,12,Summer 2012,Anna Journey,Female,The Girls of Peculiar,Catherine Pierce,Female,Saturnalia Books,http://www.kenyonreview.org/kr-online-issue/2012-summer/selections/the-girls-of-peculiar-by-catherine-pierce-738439/
Kenyon Review,12,Summer 2012,Dan Chelotti,Male,Christopher Sunset,Geoffrey Nutter,Male,Wave Books,http://www.kenyonreview.org/kr-online-issue/2012-summer/selections/christopher-sunset-by-geoffrey-nutter-738439/
Kenyon Review,12,Summer 2012,Craig Santos Perez,Male,Cassino:  City of Martyrs/Citta Martire,Robert Sullivan,Male,Huia Publishers,http://www.kenyonreview.org/kr-online-issue/2012-summer/selections/cassino-city-of-martyrs-citta-martire-by-robert-sullivan-738439/
Kenyon Review,12,Winter 2012,Kristen Evans,Female,You and Three Others are Approaching a Lake,Anna Moschovakis,Female,Coffee House Press,http://www.kenyonreview.org/kr-online-issue/winter-2012-2/selections/evans_moschovakis/
Kenyon Review,12,Winter 2012,Lindsay Turner,Female,Mule,Shane McCrae,Male,Cleveland State University Poetry Center,http://www.kenyonreview.org/kr-online-issue/winter-2012-2/selections/turner_mccrae/
Kenyon Review,13,Fall 2013,Anna Journey,Male,Your Invitation to a Modest Breakfast,Hannah Gamble,Female,Fence Books,http://www.kenyonreview.org/kr-online-issue/2013-fall/selections/your-invitation-to-a-modest-breakfast-by-hannah-gamble-738439/
Kenyon Review,13,Fall 2013,Lori A. May,Female,Cutting Room,Sarah Pinder,Female,Coach House Books,http://www.kenyonreview.org/kr-online-issue/2013-fall/selections/cutting-room-by-sarah-pinder-738439/
Kenyon Review,13,Spring 2013,Rachel Abramowitz,Female,The Trees The Trees,Heather Christle,Female,Octopus Books,http://www.kenyonreview.org/kr-online-issue/2013-spring/selections/the-trees-the-trees-by-heather-christle-738439/
Kenyon Review,13,Spring 2013,John James,Male,On the Spectrum of Possible Deaths,Lucia Perillo,Female,Copper Canyon Press,http://www.kenyonreview.org/kr-online-issue/2013-spring/selections/on-the-spectrum-of-possible-deaths-by-lucia-perillo-738439/
Kenyon Review,13,Spring 2013,Mira Rosenthal,Female,Army Cats,Tom Sleigh,Male,Graywolf Press,http://www.kenyonreview.org/kr-online-issue/2013-spring/selections/army-cats-by-tom-sleigh-738439/
Kenyon Review,13,Spring 2013,Micah Bateman,Male,"The City, Our City",Wayne Miller,Male,Milkweed Editions,http://www.kenyonreview.org/kr-online-issue/2013-spring/selections/the-city-our-city-by-wayne-miller-738439/
Kenyon Review,13,Summer 2013,Anna Journey,Female,Egypt from Space,Fritz Goldberg,Female,Oberlin College Press,http://www.kenyonreview.org/kr-online-issue/2013-summer/selections/egypt-from-space-by-beckian-fritz-goldberg-738439/
Kenyon Review,13,Summer 2013,Jeremy Bass,Male,"Space, In Chains",Laura Kasischke,Female,Copper Canyon Press,http://www.kenyonreview.org/kr-online-issue/2013-summer/selections/space-in-chains-by-laura-kasischke-738439/
Kenyon Review,13,Summer 2013,Rachel Richardson,Female,The Collected Poems of Lucille Clifton,Lucille Clifton (edit.),Female,BOA Editions,http://www.kenyonreview.org/kr-online-issue/2013-summer/selections/the-collected-poems-of-lucille-clifton-738439/
Kenyon Review,13,Summer 2013,Emilia Phillips,Female,Animal Eye,Paisley Rekdal,Female,University of Pittsburgh Press,http://www.kenyonreview.org/kr-online-issue/2013-summer/selections/animal-eye-by-paisley-rekdal-738439/
Kenyon Review,13,Summer 2013,Andy Frazee,Male,Threshold Songs,Peter Gizzi,Male,Wesleyan University Press,http://www.kenyonreview.org/kr-online-issue/2013-summer/selections/threshold-songs-by-peter-gizzi-738439/
Kenyon Review,13,Summer 2013,Kristen Evans,Female,Book of the Given,Rusty Morrison,Female,Noemi Press,http://www.kenyonreview.org/kr-online-issue/2013-summer/selections/book-of-the-given-by-rusty-morrison-738439/
Kenyon Review,13,Summer 2013,Ben Purkert,Male,The Fact of the Matter,Sally Keith,Female,Milkweed Editions,http://www.kenyonreview.org/kr-online-issue/2013-summer/selections/the-fact-of-the-matter-by-sally-keith-738439/
Kenyon Review,13,Winter 2013,Ben Purkert,Male,The Available World,Ander Monson,Male,"Sarabande Books, Inc.",http://www.kenyonreview.org/kr-online-issue/2013-winter/selections/the-available-world-by-ander-monson-738439/
Kenyon Review,13,Winter 2013,Dilruba Ahmed,Female,Torn,C. Dale Young,Male,Four Way Books,http://www.kenyonreview.org/kr-online-issue/2013-winter/selections/torn-by-c-dale-young-738439/
Kenyon Review,13,Winter 2013,John Steen,Male,The Odicy,Cyrus Console,Male,Omnidawn Publishing,http://www.kenyonreview.org/kr-online-issue/2013-winter/selections/the-odicy-by-cyrus-console-738439/
Kenyon Review,13,Winter 2013,Anna Journey,Female,Slow Lightning,Eduardo C. Corral,Male,Yale University Press,http://www.kenyonreview.org/kr-online-issue/2013-winter/selections/slow-lightning-by-eduardo-c-corral-738439/
Kenyon Review,13,Winter 2013,Adam Eaglin,Male,Touch,Henri Cole,Male,"Farrar, Straus and Giroux",http://www.kenyonreview.org/kr-online-issue/2013-winter/selections/touch-by-henri-cole-738439/
New York Quarterly,12,01.05.2012,Michael Keenan,Male,In the Kingdom of Oblivion,John Sweet,Male,Wall of Noise Press,http://nyqreviews.org/in-the-kingdom-of-oblivion-by-john-sweet/
New York Quarterly,12,02.08.2012,C.L. Bledsoe,Male,What is Owed the Dead,R.H.W. Dillard,Male,Factory Hollow Press,http://nyqreviews.org/what-is-owed-the-dead-by-r-w-h-dillard/
New York Quarterly,12,02.26.2012,Amy Glynn Greacen,Female,Night of the Republic,Alan Shapiro,Male,"Houghton, Mifflin, Harcourt",http://nyqreviews.org/night-of-the-republic-by-alan-shapiro/
New York Quarterly,12,03.17.2012,Marybeth Rua-Larsen,Female,Grasshopper: The Poetry of M.A. Griffiths,M.A. Griffiths,Female,Arrowhead Press,http://nyqreviews.org/grasshopper-the-poetry-of-m-a-griffiths/
New York Quarterly,12,03.31.2012,Quincy Lehr,Male,12: Sonnets for the Zodiac,John Gosslee,Male,Gival Press,http://nyqreviews.org/12-sonnets-for-the-zodiac-by-john-gosslee/
New York Quarterly,12,08.30.2012,Devin McGuire,Male,can't stop now!,John Yamrus,Male,Epic Rites Press,http://nyqreviews.org/cant-stop-now-by-john-yamrus/
New York Quarterly,12,09.12.2012,Sabrina Dalla Valle,Female,Schizophrene,Bhanu Kapil,Female,Nightboat Books,http://nyqreviews.org/schizophrene-by-bahnu-kapil/
New York Quarterly,12,10.02.2012,Melanie Moro-Huber,Female,"Otherwise, Soft White Ash",Kelli Allen,Female,John Gosselee Books,http://nyqreviews.org/otherwise-soft-white-ash-poems-and-other-creatures-by-kelli-allen/
New York Quarterly,12,10.22.2012,C.L. Bledsoe,Male,Meeting Bone Man,Joseph Ross,Male,Main Street Rag Publishing,http://nyqreviews.org/meeting-bone-man-by-joseph-ross/
New York Quarterly,12,12.15.2012,Richard Wakefield,Male,Lines of Flight,Catherine Chandler,Female,Able Muse Press,http://nyqreviews.org/lines-of-flight-by-catherine-chandler/
New York Quarterly,13,01.23.2013,Kelli Allen,Female,8th & Agony,Rich Ferguson,Male,Punk Hostage Press,http://nyqreviews.org/8th-and-agony-by-rich-ferguson/
Poetry,13,03.01.2013,Jason Guriel,Male,Red Doc>,Anne Carson,Female,Knopf,http://www.poetryfoundation.org/poetrymagazine/article/245432
Poetry,13,09.03.2013,Frederick Seidel,Male,Left-handed,Jonathan Galassi,Male,Knopf,http://www.poetryfoundation.org/poetrymagazine/article/246382
Poetry,13,10.01.2013,Christina Davis,Female,Trances of the Blast,Mary Ruefle,Female,Wave Books,http://www.poetryfoundation.org/poetrymagazine/article/246544
Rattle,12,01.05.2012,Kathleen Kirk,Female,Once,Meghan O'Rourke,Female,W.W. Norton,http://www.rattle.com/poetry/2012/01/once-by-meghan-orourke/
Rattle,12,01.10.2012,J. Scott Brownlee,Male,Blue Rust,Joseph Millar,Male,Carnegie Mellon University Press,http://www.rattle.com/poetry/2012/01/blue-rust-by-joseph-millar/
Rattle,12,01.15.2012,Nick DePascal,Male,"Space, In Chains",Laura Kasischke,Female,Copper Canyon Press,http://www.rattle.com/poetry/2012/01/space-in-chains-by-laura-kasischke/
Rattle,12,01.20.2012,Ellen Miller-Mack,Female,Blinking Ephemeral Valentine,Joni Wallace,Female,Four Way Books,http://www.rattle.com/poetry/2012/01/blinking-ephemeral-valentine-by-joni-wallace/
Rattle,12,02.05.2012,Nausheen Eusuf,Female,Two for a Journey,Carol Frith,Female,David Robert Books,http://www.rattle.com/poetry/2012/02/two-for-a-journey-by-carol-frith/
Rattle,12,02.25.2012,Michael Shmeltzer,Male,Flies,Michael Dickman,Male,Copper Canyon Press,http://www.rattle.com/poetry/2012/02/flies-by-michael-dickman/
Rattle,12,03.10.2012,Michael Meyerhofer,Male,The Melancholy MBA,Richard Donnelly,Male,Brick Road Poetry Press,http://www.rattle.com/poetry/2012/03/the-melancholy-mba-by-richard-donnelly/
Rattle,12,03.15.2012,Douglas Rutledge,Male,Devotions,Bruce Smith,Male,University of Chicago Press,http://www.rattle.com/poetry/2012/03/devotions-by-bruce-smith/
Rattle,12,03.20.2012,Joey Connelly,Male,This Morning,Michael Ryan,Male,"Houghton, Mifflin, Harcourt",http://www.rattle.com/poetry/2012/03/this-morning-by-michael-ryan/
Rattle,12,03.25.2012,Barrett Warner,Male,Stone and Sky,Larry Gavin,Male,Red Dragonfly Press,http://www.rattle.com/poetry/2012/03/stone-and-sky-by-larry-gavin/
Rattle,12,04.10.2012,Grace Curtis,Female,Make Yourself Small,Michelle Brooks,Female,The Backwaters Press,http://www.rattle.com/poetry/2012/04/make-yourself-small-by-michelle-brooks/
Rattle,12,04.15.2012,Eric Howard,Male,Xicano Duende: A Select Anthology,Alurista,Male,Bilingual Review Press,http://www.rattle.com/poetry/2012/04/xicano-duende-a-select-anthology-by-alurista/
Rattle,12,04.20.2012,J. Scott Brownlee,Male,I Live In A Hut,S.E. Smith,Female,Cleveland State University Poetry Center,http://www.rattle.com/poetry/2012/04/i-live-in-a-hut-by-s-e-smith/
Rattle,12,04.25.2012,Corinna McClanahan Schroeder,Female,Dream Cabinet,Ann Fisher-Wirth,Female,Wings Press,http://www.rattle.com/poetry/2012/04/dream-cabinet-by-ann-fisher-wirth/
Rattle,12,04.30.2012,Carmen Germain,Female,Fossil Honey,Charles Atkinson,Male,Hummingbird Press,http://www.rattle.com/poetry/2012/04/fossil-honey-by-charles-atkinson/
Rattle,12,05.05.2012,Barrett Warner,Male,A Little In Love A Lot,Paul Hostovsky,Male,Main Street Rag Publishing,http://www.rattle.com/poetry/2012/05/a-little-in-love-a-lot-by-paul-hostovsky/
Rattle,12,05.10.2012,Roy Robbins,Male,Drastic Dislocations,Barry Wallenstein,Male,NYQ Books,http://www.rattle.com/poetry/2012/05/drastic-dislocations-by-barry-wallenstein/
Rattle,12,05.15.2012,Valerie Martin Bailey,Female,Talking With Stanley Kunitz,Juanita Torrence-Thompson,Female,Torderwarz Publishing Company,http://www.rattle.com/poetry/2012/05/talking-with-stanley-kunitz-by-juanita-torrence-thompson/
Rattle,12,05.20.2012,Nate Friedman,Male,Utopia Minus,Susan Briante,Female,Ahsahta Press,http://www.rattle.com/poetry/2012/05/utopia-minus-by-susan-briante/
Rattle,12,05.25.2012,Ellen Miller-Mack,Female,A Fast Life: The Collected Poems of Tim Dlugos,Tim Dlugos (edit.),Male,Nightboat Books,http://www.rattle.com/poetry/2012/05/a-fast-life-the-collected-poems-of-tim-dlugos-edited-by-david-trinidad/
Rattle,12,06.05.2012,Lizi Gilad,Female,Carpathia,Cecilia Woloch,Female,BOA Editions,http://www.rattle.com/poetry/2012/06/carpathia-by-cecilia-woloch/
Rattle,12,06.10.2012,Mary Harwell Sayler,Female,Poetry! Poetry! Poetry!,Peter Davis,Male,Bloof Books,http://www.rattle.com/poetry/2012/06/poetry-poetry-poetry-by-peter-davis/
Rattle,12,06.25.2012,Hannah Olson,Female,Lost Songs & Last Chances,Chris Ransick,Male,Ghost Road Press,http://www.rattle.com/poetry/2012/06/lost-songs-last-chances-by-chris-ransick/
Rattle,12,07.05.2012,Benjamin Myers,Male,Red Fields,Jason Poudrier,Male,Mongrel Empire Press,http://www.rattle.com/poetry/2012/07/red-fields-by-jason-poudrier/
Rattle,12,07.10.2012,Jenn Ruckel,Female,Sonnets from the Dark Lady and Other Poems,Jennifer Reeser,Female,Saint James Infirmary Books,http://www.rattle.com/poetry/2012/07/sonnets-from-the-dark-lady-and-other-poems-by-jennifer-reeser/
Rattle,12,07.15.2012,Alejandro Escude,Male,Help is on the Way,John Brehm,Male,University of Wisconsin Press,http://www.rattle.com/poetry/2012/07/help-is-on-the-way-by-john-brehm/
Rattle,12,07.20.2012,Lori A. May,Female,But a Storm is Blowing from Paradise,Lillian-Yvonne Bertram,Female,Red Hen Press,http://www.rattle.com/poetry/2012/07/but-a-storm-is-blowing-from-paradise-by-lillian-yvonne-bertram/
Rattle,12,07.25.2012,Eric Howard,Male,Vocabulary of Silence,Veronica Golos,Female,Red Hen Press,http://www.rattle.com/poetry/2012/07/vocabulary-of-silence-by-veronica-golos/
Rattle,12,07.30.2012,Todd Davis,Male,"Early Creatures, Native Gods",K.A. Hays,Female,Carnegie Mellon University Press,http://www.rattle.com/poetry/2012/07/early-creatures-native-gods-by-k-a-hays/
Rattle,12,08.10.2012,Susan MacMillan-Winmon,Female,Useless Landscape or A Guide For Boys,D.A. Powell,Male,Graywolf Press,http://www.rattle.com/poetry/2012/08/useless-landscapes-or-a-guide-for-boys-by-d-a-powell/
Rattle,12,08.15.2012,Carole Ann Borges,Female,Wild in the Plaza of Memory,Pamela Uschuk,Female,Wings Press,http://www.rattle.com/poetry/2012/08/wild-in-the-plaza-of-memory-by-pamela-uschuk/
Rattle,12,08.25.2012,J. Scott Brownlee,Male,American Boys,Alex Dimitrov,Male,Floating Wolf Quarterly,http://www.rattle.com/poetry/2012/08/american-boys-by-alex-dimitrov/
Rattle,12,08.30.2012,Peggy Kincaid,Female,Book of the Given,Rusty Morrison,Female,Noemi Press,http://www.rattle.com/poetry/2012/08/book-of-the-given-by-rusty-morrison/
