Journal,Pub. Year,Pub. Date,Reviewer,Reviewer Gender,Book,Author,Author Gender,Press,Link
Rattle,13,03.25.2013,Anique Taylor,Female,Shoulda Been Jimi Savannah,Patricia Smith,Female,Coffee House Press,http://www.rattle.com/poetry/2013/03/shoulda-been-jimi-savannah-by-patricia-smith/
Rattle,13,04.05.2013,C.L. Bledsoe,Male,Looms,Camille Martin,Female,Shearsman Books,http://www.rattle.com/poetry/2013/04/looms-by-camille-martin/
Rattle,13,04.10.2013,Wesley Rothman,Male,The Oracle of Hollywood Boulevard,Dana Goodyear,Female,W.W. Norton,http://www.rattle.com/poetry/2013/04/the-oracle-of-hollywood-boulevard-by-dana-goodyear/
Rattle,13,04.30.2013,Christopher Moran,Male,Olives,A.E. Stallings,Female,Northwestern University Press,http://www.rattle.com/poetry/2013/04/olives-by-a-e-stallings/
Rattle,13,05.15.2013,Gail Fishman Gerwin,Female,I Wanted A City,Janet Marks,Female,WordTech Editions,http://www.rattle.com/poetry/2013/05/i-wanted-a-city-by-janet-marks/
Rattle,13,05.20.2013,Anita Sullivan,Female,Playing Bach in the D.C. Metro,David Lee Garrison,Male,Browser Books Publishing,http://www.rattle.com/poetry/2013/05/playing-bach-in-the-d-c-metro-by-david-lee-garrison/
Rattle,13,05.25.2013,Lynn Levin,Female,Charms Against Lightning,James Arthur,Male,Copper Canyon Press,http://www.rattle.com/poetry/2013/05/charms-against-lightning-by-james-arthur/
Rattle,13,05.30.2013,Anne Champion,Female,F IN,Carol Guess,Female,Noctuary Press,http://www.rattle.com/poetry/2013/05/f-in-by-carol-guess/
Rattle,13,06.05.2013,Conrad Geller,Male,The Rigid Body,Gabriel Spera,Male,The Ashland Poetry Press,http://www.rattle.com/poetry/2013/06/the-rigid-body-by-gabriel-spera/
Rattle,13,06.10.2013,Jane Alberdeston Coralin,Female,What We Ask of Flesh,Remica L. Bingham,Female,Etruscan Press,http://www.rattle.com/poetry/2013/06/what-we-ask-of-flesh-by-remica-l-bingham/
Rattle,13,06.15.2013,Anne Harding Woodworth,Female,What To Make Of It,Pamela Harrison,Female,Turning Point Books,http://www.rattle.com/poetry/2013/06/what-to-make-of-it-by-pamela-harrison/
Rattle,13,06.20.2013,Maggie Paul,Female,Miss Plastique,Lynn Levin,Female,Ragged Sky Press,http://www.rattle.com/poetry/2013/06/miss-plastique-by-lynn-levin/
Rattle,13,06.25.2013,Carmen Germain,Female,Breath Control,Maryann Corbett,Female,David Robert Books,http://www.rattle.com/poetry/2013/06/breath-control-by-maryann-corbett/
Rattle,13,06.30.2013,Timothy Bradford,Male,Vertical Hold,Jeff Simpson,Male,Steel Toe Books,http://www.rattle.com/poetry/2013/06/vertical-hold-by-jeff-simpson/
Rattle,13,07.15.2013,Jeffrey C. Alfier,Male,Cold Blue Steel,Sarah Cortez,Female,Texas Review Press,http://www.rattle.com/poetry/2013/07/cold-blue-steel-by-sarah-cortez/
Rattle,13,07.20.2013,Arthur McMaster,Male,The Winged Seed: A Remembrance,Li-Young Lee,Male,BOA Editions,http://www.rattle.com/poetry/2013/07/the-winged-seed-a-remembrance-by-li-young-lee/
Rattle,13,07.25.2013,John Yohe,Male,Ten Thousand Voices,Rick Kempa,Male,Littoral Press,http://www.rattle.com/poetry/2013/07/ten-thousand-voices-by-rick-kempa/
Rattle,13,07.30.2013,Lucy Biederman,Female,Tongue Lyre,Tyler Mills,Female,Southern Illinois University Press,http://www.rattle.com/poetry/2013/07/tongue-lyre-by-tyler-mills/
Rattle,13,08.05.2013,Teresa Mei Chuc,Female,A Large Dent in the Moon,Monty Campbell Jr.,Male,FootHills Publishing,http://www.rattle.com/poetry/2013/08/a-large-dent-in-the-moon-by-monty-campbell-jr/
Rattle,13,08.15.2013,Catherine Staples,Female,Mutiny Gallery,B.K. Fischer,Female,Truman State University Press,http://www.rattle.com/poetry/2013/08/mutiny-gallery-by-b-k-fischer/
Rattle,13,08.20.2013,Gail Fishman Gerwin,Female,The Place I Call Home,Maria Mazziotti Gillan,Female,NYQ Books,http://www.rattle.com/poetry/2013/08/the-place-i-call-home-by-maria-mazziotti-gillan/
